time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451150000	10.5482	20.9599	4.74717	3.25936	0.56233	radar	4.88997	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.26	20.9852	4.86175	3.26909	0.546549	lidar	3.17773	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0241	20.964	4.84665	3.29229	0.542889	radar	0.981168	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84386	20.9221	4.72951	3.32266	0.546666	lidar	1.57236	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63039	20.8998	4.60005	3.33959	0.533654	radar	2.17585	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44333	20.8488	4.52566	3.36943	0.536951	lidar	0.599175	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23305	20.8029	4.51611	3.39485	0.536492	radar	1.37771	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.92072	20.7719	4.69615	3.40572	0.521814	lidar	3.18982	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71387	20.6928	4.66581	3.43817	0.527473	radar	4.17324	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41979	20.6115	4.80706	3.46103	0.523138	lidar	3.13844	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19389	20.5319	4.80937	3.48788	0.523919	radar	0.030636	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94459	20.4515	4.85426	3.51023	0.520351	lidar	0.215646	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72777	20.3678	4.87997	3.53688	0.522999	radar	3.27692	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40452	20.3043	5.05272	3.54088	0.503372	lidar	3.69586	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17619	20.2077	5.00691	3.56366	0.49983	radar	0.386746	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90662	20.1214	5.07697	3.57736	0.490047	lidar	0.781134	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69069	20.0282	4.99933	3.5972	0.484701	radar	0.823432	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.4408	19.9345	5.03851	3.61213	0.476871	lidar	0.524652	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23424	19.8398	4.97749	3.63166	0.473141	radar	3.12273	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96645	19.7435	5.05319	3.64106	0.460982	lidar	1.15187	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72791	19.6029	5.14427	3.66753	0.465158	radar	1.38651	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
